source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Tecmundo.com.br'}",Jorge Marin,Google DeepMind: nova ferramenta de IA prevê doenças genéticas,Um novo programa de inteligência artificial desenvolvido por cientistas do Google DeepMind é capaz de prever se milhões de mutações genéticas presentes em nossa sequência de DNA que são inofensivas ou propensas a causar doenças no futuro. Batizada como AlphaM…,https://www.tecmundo.com.br/ciencia/271822-google-deepmind-nova-ferramenta-ia-preve-doencas-geneticas.htm,https://tm.ibxk.com.br/2023/09/20/20120248396161.jpg,2023-09-20T15:15:00Z,Um novo programa de inteligência artificial desenvolvido por cientistas do Google DeepMind é capaz de prever se milhões de mutações genéticas presentes em nossa sequência de DNA que são inofensivas o… [+2940 chars]
"{'id': None, 'name': 'Olhardigital.com.br'}",Alessandro Di Lorenzo,Estudo descobre novas características genéticas do Alzheimer,"A descoberta, segundo os pesquisadores, pode contribuir para o desenvolvimento futuro de exames de sangue para a doença de Alzheimer
O post Estudo descobre novas características genéticas do Alzheimer apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/07/medicina-e-saude/estudo-descobre-novas-caracteristicas-geneticas-do-alzheimer/,https://img.olhardigital.com.br/wp-content/uploads/2023/05/Alzheimer.jpg,2023-09-07T10:01:00Z,"Pesquisadores da Universidade de Pittsburgh, nos Estados Unidos, analisaram milhares de genomas humanos para encontrar novas variaÃ§Ãµes genÃ©ticas responsÃ¡veis por controlar os nÃ­veis de molÃ©cula… [+2542 chars]"
"{'id': None, 'name': 'Sapo.pt'}",Ana Sofia Neto,Cérebro artificial ajuda a perceber as origens genéticas do autismo,Uma nova técnica científica está a revelar as origens genéticas da perturbação do espetro do autismo (ou PEA) escondidas no nosso cérebro. O cérebro é curiosamente complexo e há muito sobre ele que ainda...,https://pplware.sapo.pt/ciencia/cerebro-artificial-ajuda-a-perceber-as-origens-geneticas-do-autismo/,https://pplware.sapo.pt/wp-content/uploads/2023/09/organoide_cerebral00.jpg,2023-09-24T13:00:25Z,"Uma nova técnica científica está a revelar as origens genéticas da perturbação do espetro do autismo (ou PEA) escondidas no nosso cérebro.
O cérebro é curiosamente complexo e há muito sobre ele que … [+3282 chars]"
"{'id': None, 'name': 'Tecmundo.com.br'}",Jorge Marin,Miniórgãos descobertos em mamíferos podem gerar respostas autoimunes,"Pesquisadores do Instituto Federal Suíço de Tecnologia de Zurique descobriram recentemente um tipo de organela que havia permanecido não caracterizada até agora nas células dos mamíferos. O “miniórgão”, batizado como exclusoma, é feito de anéis de DNA chamado…",https://www.tecmundo.com.br/ciencia/272244-miniorgaos-descobertos-mamiferos-gerar-respostas-autoimunes.htm,https://tm.ibxk.com.br/2023/10/02/02154244691267.jpg,2023-10-02T20:30:04Z,Pesquisadores do Instituto Federal Suíço de Tecnologia de Zurique descobriram recentemente um tipo de organela que havia permanecido não caracterizada até agora nas células dos mamíferos. O miniórgão… [+3134 chars]
"{'id': None, 'name': 'Olhardigital.com.br'}",Vitoria Lopes Gomez,"Vacinas erradicaram doenças que, antes, matavam mais que guerras","Doenças como a poliomielite e a varíola, que mataram milhões no século passado, desapareceram graças às vacinas
O post Vacinas erradicaram doenças que, antes, matavam mais que guerras apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/08/medicina-e-saude/vacinas-erradicaram-doencas-que-antes-matavam-mais-que-guerras/,https://img.olhardigital.com.br/wp-content/uploads/2023/07/vacina-e1692890816557.jpg,2023-09-08T20:30:20Z,"NÃ£o Ã© incomum ouvir falar sobre a gravidade de doenÃ§as que hoje sequer nos lembramos. Ã o caso, por exemplo, da varÃ­ola e da poliomielite. Ambas mataram milhÃµes de pessoas no sÃ©culo passado, m… [+2308 chars]"
"{'id': None, 'name': 'Olhardigital.com.br'}",Alessandro Di Lorenzo,IA brasileira é capaz de prever doenças com antecedência,"A IA Dara pode coletar dados e realizar uma rápida varredura em todo o histórico médico do paciente, indicando riscos de saúde
O post IA brasileira é capaz de prever doenças com antecedência apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/29/medicina-e-saude/ia-brasileira-e-capaz-de-prever-doencas-com-antecedencia/,https://proxy.olhardigital.com.br/wp-content/uploads/2023/09/iStock-1411998514.jpg,2023-09-29T21:04:45Z,"Uma inteligÃªncia artificial desenvolvida por uma empresa brasileira pode ajudar a prevenir doenÃ§as como acidente vascular cerebral (AVC), infarto e diabetes, por exemplo. A Dara foi criada pela IPM… [+1959 chars]"
"{'id': None, 'name': 'Sapo.pt'}",Rui Jorge,Cientistas adaptam a Realidade Virtual para utilização em consultas remotas,"Os investigadores da Universidade de Canterbury criaram um headset de realidade virtual (RV) que poderá ser utilizado pelos médicos para realizar avaliações médicas de pacientes que vivem em zonas rurais, têm doenças infeciosas ou...",https://pplware.sapo.pt/high-tech/cientistas-adaptam-a-realidade-virtual-para-utilizacao-em-consultas-remotas/,https://pplware.sapo.pt/wp-content/uploads/2023/09/rv_medicina.jpg,2023-09-20T14:00:25Z,Os investigadores da Universidade de Canterbury criaram um headset de realidade virtual (RV) que poderá ser utilizado pelos médicos para realizar avaliações médicas de pacientes que vivem em zonas ru… [+3368 chars]
"{'id': None, 'name': 'Olhardigital.com.br'}",Alessandro Di Lorenzo,Segundo transplante com coração de porco para humano é feito com sucesso,"O coração de porco transplantado tem 10 modificações genéticas para reduzir o risco de ser recusado pelo corpo do paciente
O post Segundo transplante com coração de porco para humano é feito com sucesso apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/22/medicina-e-saude/segundo-transplante-com-coracao-de-porco-para-humano-e-feito-com-sucesso/,https://proxy.olhardigital.com.br/wp-content/uploads/2023/09/Transplante-1.jpg,2023-09-22T19:33:57Z,"Pela segunda vez na histÃ³ria, cirurgiÃµes transplantaram o coraÃ§Ã£o de um porco em um homem na tentativa de prolongar sua vida. A operaÃ§Ã£o foi um sucesso e, dois dias depois, o paciente estava fa… [+2546 chars]"
"{'id': None, 'name': 'Olhardigital.com.br'}",Mateus Dias,Cientistas encontram povo na África que acreditavam ter sumido,"Apesar da língua da população estar deixando de existir, suas distinções genéticas continuam presente nos descendentes
O post Cientistas encontram povo na África que acreditavam ter sumido apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/27/ciencia-e-espaco/cientistas-encontram-povo-na-africa-que-acreditavam-ter-sumido/,https://olhardigital.com.br/wp-content/uploads/2023/09/ultimos-faantes-do-Kwadi.webp,2023-09-27T19:34:40Z,"A Ãfrica Austral abriga uma regiÃ£o conhecida como berÃ§o da humanidade, local onde os primeiros hominÃ­deos surgiram. Por causa disso, Ã© possÃ­vel encontrar a maior diversidade genÃ©tica humana po… [+2079 chars]"
"{'id': None, 'name': 'Tecmundo.com.br'}",Jennifer Egues,"Dara, a IA capaz de prever infartos e AVCs com dados do SUS","Nova inteligência artificial, desenvolvida pela empresa IPM Sistemas, uma GovTech brasileira, pode ser utilizada no serviço público de saúde, otimizando dados e gerando sinais de alerta para doenças como acidente vascular cerebral, infarto e previsões com até…",https://www.tecmundo.com.br/ciencia/272151-dara-ia-capaz-prever-infartos-avcs-dados-sus.htm,https://tm.ibxk.com.br/2023/09/28/28172505232225.jpg,2023-09-29T13:00:00Z,"Nova inteligência artificial, desenvolvida pela empresa IPM Sistemas, uma GovTech brasileira, pode ser utilizada no serviço público de saúde, otimizando dados e gerando sinais de alerta para doenças … [+2737 chars]"
